Interaction ID,Customer ID,Channel,Happiness Score,Agent,Interaction_Count
INT300109,US00015010,Email,Happy,Kate,2
INT300110,US00015010,Email,Unhappy,Kate,2
INT300111,US00015010,SMS,Unhappy,,2
INT300112,US00015010,SMS,Very Unhappy,,2
INT300113,US00015010,Self-Service,Unhappy,,2
INT300114,US00015010,Self-Service,Very Unhappy,,2
INT300115,US00015010,Case,Very Unhappy,Kate,2
INT300116,US00015010,Case,Happy,Ashley,2
INT300117,US00015010,IVR,Happy,,2
INT300118,US00015010,IVR,Very Happy,,2
INT300119,US00015011,Phone,Unhappy,Javier,1
INT300120,US00015011,Email,Very Happy,Ashley,1
INT300121,US00015011,SMS,Happy,,2
INT300122,US00015011,SMS,Unhappy,,2
INT300123,US00015011,Self-Service,Very Happy,,2
INT300124,US00015011,Self-Service,Neutral,,2
INT300125,US00015011,Case,Happy,Ashley,2
INT300126,US00015011,Case,Happy,Ashley,2
INT300127,US00015011,IVR,Neutral,,1
INT300128,US00015012,Phone,Very Happy,Ashley,3
INT300129,US00015012,Phone,Unhappy,Ashley,3
INT300130,US00015012,Phone,Very Unhappy,Kate,3
INT300131,US00015012,Email,Happy,Javier,3
INT300132,US00015012,Email,Unhappy,Ashley,3
INT300133,US00015012,Email,Happy,Javier,3
INT300134,US00015012,SMS,Very Unhappy,,1
INT300135,US00015012,Self-Service,Happy,,3
INT300136,US00015012,Self-Service,Very Happy,,3
INT300137,US00015012,Self-Service,Happy,,3
INT300138,US00015012,Case,Neutral,Javier,3
INT300139,US00015012,Case,Happy,Javier,3
INT300140,US00015012,Case,Happy,Ashley,3
INT300141,US00015012,IVR,Happy,,2
INT300142,US00015012,IVR,Neutral,,2
INT300143,US00015013,Phone,Neutral,Ashley,1
INT300144,US00015013,Email,Happy,Javier,3
INT300145,US00015013,Email,Happy,Kate,3
INT300146,US00015013,Email,Happy,Javier,3
INT300147,US00015013,SMS,Happy,,3
INT300148,US00015013,SMS,Happy,,3
INT300149,US00015013,SMS,Very Happy,,3
INT300150,US00015013,Self-Service,Happy,,1
INT300151,US00015013,Case,Very Unhappy,Javier,1
INT300152,US00015013,IVR,Unhappy,,1
INT300153,US00015014,Phone,Happy,Ashley,2
INT300154,US00015014,Phone,Happy,Javier,2
INT300155,US00015014,Email,Unhappy,Ashley,2
INT300156,US00015014,Email,Neutral,Ashley,2
INT300157,US00015014,SMS,Very Happy,,1
INT300158,US00015014,Self-Service,Very Happy,,1
INT300159,US00015014,Case,Neutral,Ashley,2
INT300160,US00015014,Case,Very Unhappy,Ashley,2
INT300161,US00015014,IVR,Neutral,,1
INT300162,US00015015,Phone,Unhappy,Ashley,3
INT300163,US00015015,Phone,Happy,Javier,3
INT300164,US00015015,Phone,Neutral,Javier,3
INT300165,US00015015,Email,Very Happy,Ashley,1
INT300166,US00015015,SMS,Happy,,2
INT300167,US00015015,SMS,Neutral,,2
INT300168,US00015015,Self-Service,Unhappy,,2
INT300169,US00015015,Self-Service,Very Unhappy,,2
INT300170,US00015015,Case,Unhappy,Javier,1
INT300171,US00015015,IVR,Very Unhappy,,2
INT300172,US00015015,IVR,Very Happy,,2
INT300173,US00015016,Phone,Happy,Ashley,1
INT300174,US00015016,Email,Happy,Javier,2
INT300175,US00015016,Email,Happy,Javier,2
INT300176,US00015016,SMS,Very Unhappy,,2
INT300177,US00015016,SMS,Happy,,2
INT300178,US00015016,Self-Service,Very Happy,,3
INT300179,US00015016,Self-Service,Very Happy,,3
INT300180,US00015016,Self-Service,Happy,,3
INT300181,US00015016,Case,Very Happy,Kate,3
INT300182,US00015016,Case,Neutral,Ashley,3
INT300183,US00015016,Case,Happy,Kate,3
INT300184,US00015016,IVR,Happy,,1
INT300185,US00015017,Phone,Very Happy,Ashley,1
INT300186,US00015017,Email,Happy,Javier,1
INT300187,US00015017,SMS,Very Happy,,1
INT300188,US00015017,Self-Service,Unhappy,,1
INT300189,US00015017,Case,Happy,Kate,2
INT300190,US00015017,Case,Very Happy,Kate,2
INT300191,US00015017,IVR,Very Happy,,2
INT300192,US00015017,IVR,Very Happy,,2
INT300193,US00015018,Phone,Unhappy,Kate,3
INT300194,US00015018,Phone,Happy,Javier,3
INT300195,US00015018,Phone,Very Happy,Ashley,3
INT300196,US00015018,Email,Unhappy,Ashley,3
INT300197,US00015018,Email,Happy,Kate,3
INT300198,US00015018,Email,Happy,Ashley,3
INT300199,US00015018,SMS,Neutral,,2
INT300200,US00015018,SMS,Unhappy,,2
INT300201,US00015018,Self-Service,Happy,,3
INT300202,US00015018,Self-Service,Happy,,3
INT300203,US00015018,Self-Service,Happy,,3
INT300204,US00015018,Case,Unhappy,Javier,3
INT300205,US00015018,Case,Unhappy,Kate,3
INT300206,US00015018,Case,Unhappy,Javier,3
INT300207,US00015018,IVR,Neutral,,1
INT300208,US00015019,Phone,Very Unhappy,Kate,3
INT300209,US00015019,Phone,Neutral,Kate,3
INT300210,US00015019,Phone,Very Happy,Ashley,3
INT300211,US00015019,Email,Very Unhappy,Ashley,1
INT300212,US00015019,SMS,Very Happy,,2
INT300213,US00015019,SMS,Very Happy,,2
INT300214,US00015019,Self-Service,Unhappy,,1
INT300215,US00015019,Case,Unhappy,Ashley,3
INT300216,US00015019,Case,Very Happy,Kate,3
INT300217,US00015019,Case,Unhappy,Kate,3
INT300218,US00015019,IVR,Happy,,1
INT300219,US00015020,Phone,Unhappy,Ashley,1
INT300220,US00015020,Email,Happy,Kate,1
INT300221,US00015020,SMS,Unhappy,,1
INT300222,US00015020,Self-Service,Happy,,2
INT300223,US00015020,Self-Service,Very Happy,,2
INT300224,US00015020,Case,Neutral,Kate,1
INT300225,US00015020,IVR,Unhappy,,1
INT300226,US00015021,Phone,Happy,Javier,3
INT300227,US00015021,Phone,Unhappy,Ashley,3
INT300228,US00015021,Phone,Neutral,Kate,3
INT300229,US00015021,Email,Happy,Ashley,3
INT300230,US00015021,Email,Very Unhappy,Ashley,3
INT300231,US00015021,Email,Neutral,Kate,3
INT300232,US00015021,SMS,Neutral,,3
INT300233,US00015021,SMS,Very Unhappy,,3
INT300234,US00015021,SMS,Unhappy,,3
INT300235,US00015021,Self-Service,Neutral,,3
INT300236,US00015021,Self-Service,Unhappy,,3
INT300237,US00015021,Self-Service,Unhappy,,3
INT300238,US00015021,Case,Very Happy,Javier,3
INT300239,US00015021,Case,Happy,Ashley,3
INT300240,US00015021,Case,Very Happy,Ashley,3
INT300241,US00015021,IVR,Very Happy,,2
INT300242,US00015021,IVR,Very Happy,,2
INT300243,US00015022,Phone,Happy,Javier,2
INT300244,US00015022,Phone,Very Happy,Ashley,2
INT300245,US00015022,Email,Neutral,Kate,2
INT300246,US00015022,Email,Neutral,Ashley,2
INT300247,US00015022,SMS,Very Happy,,1
INT300248,US00015022,Self-Service,Unhappy,,3
INT300249,US00015022,Self-Service,Unhappy,,3
INT300250,US00015022,Self-Service,Unhappy,,3
INT300251,US00015022,Case,Happy,Ashley,1
INT300252,US00015022,IVR,Neutral,,3
INT300253,US00015022,IVR,Very Happy,,3
INT300254,US00015022,IVR,Happy,,3
INT300255,US00015023,Phone,Unhappy,Kate,3
INT300256,US00015023,Phone,Unhappy,Kate,3
INT300257,US00015023,Phone,Unhappy,Javier,3
INT300258,US00015023,Email,Unhappy,Kate,2
INT300259,US00015023,Email,Neutral,Kate,2
INT300260,US00015023,SMS,Happy,,1
INT300261,US00015023,Self-Service,Neutral,,3
INT300262,US00015023,Self-Service,Happy,,3
INT300263,US00015023,Self-Service,Happy,,3
INT300264,US00015023,Case,Neutral,Javier,3
INT300265,US00015023,Case,Neutral,Ashley,3
INT300266,US00015023,Case,Very Happy,Kate,3
INT300267,US00015023,IVR,Neutral,,3
INT300268,US00015023,IVR,Very Unhappy,,3
INT300269,US00015023,IVR,Neutral,,3
INT300270,US00015024,Phone,Happy,Kate,3
INT300271,US00015024,Phone,Happy,Ashley,3
INT300272,US00015024,Phone,Neutral,Kate,3
INT300273,US00015024,Email,Very Happy,Javier,3
INT300274,US00015024,Email,Very Happy,Ashley,3
INT300275,US00015024,Email,Very Happy,Ashley,3
INT300276,US00015024,SMS,Happy,,3
INT300277,US00015024,SMS,Neutral,,3
INT300278,US00015024,SMS,Happy,,3
INT300279,US00015024,Self-Service,Happy,,2
INT300280,US00015024,Self-Service,Happy,,2
INT300281,US00015024,Case,Very Happy,Ashley,3
INT300282,US00015024,Case,Neutral,Ashley,3
INT300283,US00015024,Case,Very Happy,Javier,3
INT300284,US00015024,IVR,Happy,,2
INT300285,US00015024,IVR,Neutral,,2
INT300286,US00015025,Phone,Unhappy,Ashley,2
INT300287,US00015025,Phone,Happy,Ashley,2
INT300288,US00015025,Email,Very Unhappy,Kate,2
INT300289,US00015025,Email,Unhappy,Ashley,2
INT300290,US00015025,SMS,Happy,,1
INT300291,US00015025,Self-Service,Unhappy,,1
INT300292,US00015025,Case,Happy,Ashley,3
INT300293,US00015025,Case,Unhappy,Ashley,3
INT300294,US00015025,Case,Very Happy,Ashley,3
INT300295,US00015025,IVR,Unhappy,,3
INT300296,US00015025,IVR,Happy,,3
INT300297,US00015025,IVR,Unhappy,,3
INT300298,US00015026,Phone,Very Unhappy,Kate,2
INT300299,US00015026,Phone,Neutral,Javier,2
INT300300,US00015026,Email,Neutral,Ashley,2
INT300301,US00015026,Email,Very Happy,Javier,2
INT300302,US00015026,SMS,Very Happy,,3
INT300303,US00015026,SMS,Very Unhappy,,3
INT300304,US00015026,SMS,Neutral,,3
INT300305,US00015026,Self-Service,Very Happy,,1
INT300306,US00015026,Case,Very Happy,Kate,2
INT300307,US00015026,Case,Very Happy,Ashley,2
INT300308,US00015026,IVR,Neutral,,2
INT300309,US00015026,IVR,Happy,,2
INT300310,US00015027,Phone,Very Happy,Ashley,2
INT300311,US00015027,Phone,Very Unhappy,Javier,2
INT300312,US00015027,Email,Happy,Javier,1
INT300313,US00015027,SMS,Neutral,,3
INT300314,US00015027,SMS,Happy,,3
INT300315,US00015027,SMS,Very Happy,,3
INT300316,US00015027,Self-Service,Neutral,,3
INT300317,US00015027,Self-Service,Neutral,,3
INT300318,US00015027,Self-Service,Neutral,,3
INT300319,US00015027,Case,Very Unhappy,Kate,1
INT300320,US00015027,IVR,Happy,,3
INT300321,US00015027,IVR,Happy,,3
INT300322,US00015027,IVR,Unhappy,,3
INT300323,US00015028,Phone,Very Happy,Kate,1
INT300324,US00015028,Email,Happy,Kate,1
INT300325,US00015028,SMS,Unhappy,,1
INT300326,US00015028,Self-Service,Unhappy,,2
INT300327,US00015028,Self-Service,Unhappy,,2
INT300328,US00015028,Case,Happy,Kate,1
INT300329,US00015028,IVR,Very Unhappy,,1
INT300330,US00015029,Phone,Neutral,Javier,2
INT300331,US00015029,Phone,Happy,Javier,2
INT300332,US00015029,Email,Happy,Ashley,1
INT300333,US00015029,SMS,Happy,,2
INT300334,US00015029,SMS,Happy,,2
INT300335,US00015029,Self-Service,Happy,,1
INT300336,US00015029,Case,Unhappy,Kate,3
INT300337,US00015029,Case,Happy,Ashley,3
INT300338,US00015029,Case,Neutral,Kate,3
INT300339,US00015029,IVR,Happy,,2
INT300340,US00015029,IVR,Unhappy,,2
INT300341,US00015030,Phone,Unhappy,Javier,1
INT300342,US00015030,Email,Very Happy,Kate,3
INT300343,US00015030,Email,Very Happy,Javier,3
INT300344,US00015030,Email,Unhappy,Kate,3
INT300345,US00015030,SMS,Very Happy,,3
INT300346,US00015030,SMS,Happy,,3
INT300347,US00015030,SMS,Happy,,3
INT300348,US00015030,Self-Service,Neutral,,1
INT300349,US00015030,Case,Very Happy,Javier,2
INT300350,US00015030,Case,Happy,Ashley,2
INT300351,US00015030,IVR,Happy,,3
INT300352,US00015030,IVR,Happy,,3
INT300353,US00015030,IVR,Unhappy,,3
INT300354,US00015031,Phone,Very Happy,Javier,2
INT300355,US00015031,Phone,Happy,Ashley,2
INT300356,US00015031,Email,Happy,Ashley,2
INT300357,US00015031,Email,Happy,Kate,2
INT300358,US00015031,SMS,Very Happy,,2
INT300359,US00015031,SMS,Very Happy,,2
INT300360,US00015031,Self-Service,Very Unhappy,,3
INT300361,US00015031,Self-Service,Happy,,3
INT300362,US00015031,Self-Service,Happy,,3
INT300363,US00015031,Case,Neutral,Kate,2
INT300364,US00015031,Case,Neutral,Kate,2
INT300365,US00015031,IVR,Very Happy,,3
INT300366,US00015031,IVR,Happy,,3
INT300367,US00015031,IVR,Unhappy,,3
INT300368,US00015032,Phone,Happy,Ashley,3
INT300369,US00015032,Phone,Happy,Javier,3
INT300370,US00015032,Phone,Happy,Kate,3
INT300371,US00015032,Email,Neutral,Javier,1
INT300372,US00015032,SMS,Very Happy,,3
INT300373,US00015032,SMS,Happy,,3
INT300374,US00015032,SMS,Happy,,3
INT300375,US00015032,Self-Service,Happy,,1
INT300376,US00015032,Case,Neutral,Javier,1
INT300377,US00015032,IVR,Neutral,,3
INT300378,US00015032,IVR,Very Unhappy,,3
INT300379,US00015032,IVR,Unhappy,,3
INT300380,US00015033,Phone,Happy,Ashley,1
INT300381,US00015033,Email,Very Unhappy,Javier,1
INT300382,US00015033,SMS,Very Happy,,3
INT300383,US00015033,SMS,Very Happy,,3
INT300384,US00015033,SMS,Neutral,,3
INT300385,US00015033,Self-Service,Very Happy,,2
INT300386,US00015033,Self-Service,Very Happy,,2
INT300387,US00015033,Case,Very Happy,Javier,2
INT300388,US00015033,Case,Very Happy,Javier,2
INT300389,US00015033,IVR,Happy,,1
INT300390,US00015034,Phone,Very Unhappy,Kate,1
INT300391,US00015034,Email,Neutral,Kate,3
INT300392,US00015034,Email,Neutral,Javier,3
INT300393,US00015034,Email,Neutral,Javier,3
INT300394,US00015034,SMS,Very Happy,,2
INT300395,US00015034,SMS,Happy,,2
INT300396,US00015034,Self-Service,Very Happy,,2
INT300397,US00015034,Self-Service,Happy,,2
INT300398,US00015034,Case,Unhappy,Ashley,1
INT300399,US00015034,IVR,Happy,,3
INT300400,US00015034,IVR,Neutral,,3
INT300401,US00015034,IVR,Very Happy,,3
INT300402,US00015035,Phone,Very Happy,Javier,3
INT300403,US00015035,Phone,Neutral,Javier,3
INT300404,US00015035,Phone,Happy,Javier,3
INT300405,US00015035,Email,Very Unhappy,Kate,3
INT300406,US00015035,Email,Happy,Kate,3
INT300407,US00015035,Email,Happy,Kate,3
INT300408,US00015035,SMS,Very Happy,,3
INT300409,US00015035,SMS,Very Happy,,3
INT300410,US00015035,SMS,Happy,,3
INT300411,US00015035,Self-Service,Very Happy,,2
INT300412,US00015035,Self-Service,Very Unhappy,,2
INT300413,US00015035,Case,Neutral,Javier,3
INT300414,US00015035,Case,Happy,Ashley,3
INT300415,US00015035,Case,Very Happy,Ashley,3
INT300416,US00015035,IVR,Happy,,3
INT300417,US00015035,IVR,Happy,,3
INT300418,US00015035,IVR,Very Happy,,3
INT300419,US00015036,Phone,Happy,Javier,1
INT300420,US00015036,Email,Happy,Kate,3
INT300421,US00015036,Email,Happy,Javier,3
INT300422,US00015036,Email,Happy,Kate,3
INT300423,US00015036,SMS,Happy,,3
INT300424,US00015036,SMS,Neutral,,3
INT300425,US00015036,SMS,Happy,,3
INT300426,US00015036,Self-Service,Very Happy,,1
INT300427,US00015036,Case,Neutral,Ashley,3
INT300428,US00015036,Case,Neutral,Javier,3
INT300429,US00015036,Case,Happy,Javier,3
INT300430,US00015036,IVR,Happy,,3
INT300431,US00015036,IVR,Happy,,3
INT300432,US00015036,IVR,Neutral,,3
INT300433,US00015037,Phone,Very Happy,Kate,2
INT300434,US00015037,Phone,Neutral,Kate,2
INT300435,US00015037,Email,Unhappy,Javier,2
INT300436,US00015037,Email,Happy,Javier,2
INT300437,US00015037,SMS,Happy,,3
INT300438,US00015037,SMS,Unhappy,,3
INT300439,US00015037,SMS,Happy,,3
INT300440,US00015037,Self-Service,Very Happy,,1
INT300441,US00015037,Case,Happy,Ashley,3
INT300442,US00015037,Case,Neutral,Javier,3
INT300443,US00015037,Case,Very Unhappy,Javier,3
INT300444,US00015037,IVR,Very Happy,,3
INT300445,US00015037,IVR,Very Happy,,3
INT300446,US00015037,IVR,Happy,,3
INT300447,US00015038,Phone,Unhappy,Javier,1
INT300448,US00015038,Email,Neutral,Javier,2
INT300449,US00015038,Email,Neutral,Javier,2
INT300450,US00015038,SMS,Very Happy,,1
INT300451,US00015038,Self-Service,Happy,,2
INT300452,US00015038,Self-Service,Very Happy,,2
INT300453,US00015038,Case,Very Unhappy,Kate,3
INT300454,US00015038,Case,Unhappy,Ashley,3
INT300455,US00015038,Case,Very Unhappy,Javier,3
INT300456,US00015038,IVR,Happy,,1
INT300457,US00015039,Phone,Very Unhappy,Javier,2
INT300458,US00015039,Phone,Happy,Kate,2
INT300459,US00015039,Email,Neutral,Ashley,3
INT300460,US00015039,Email,Very Happy,Kate,3
INT300461,US00015039,Email,Happy,Ashley,3
INT300462,US00015039,SMS,Neutral,,3
INT300463,US00015039,SMS,Happy,,3
INT300464,US00015039,SMS,Neutral,,3
INT300465,US00015039,Self-Service,Very Unhappy,,1
INT300466,US00015039,Case,Neutral,Javier,1
INT300467,US00015039,IVR,Unhappy,,3
INT300468,US00015039,IVR,Happy,,3
INT300469,US00015039,IVR,Happy,,3
INT300470,US00015040,Phone,Very Unhappy,Ashley,2
INT300471,US00015040,Phone,Very Unhappy,Javier,2
INT300472,US00015040,Email,Happy,Ashley,2
INT300473,US00015040,Email,Happy,Javier,2
INT300474,US00015040,SMS,Very Happy,,1
INT300475,US00015040,Self-Service,Very Happy,,1
INT300476,US00015040,Case,Very Unhappy,Kate,2
INT300477,US00015040,Case,Happy,Ashley,2
INT300478,US00015040,IVR,Happy,,2
INT300479,US00015040,IVR,Very Happy,,2
INT300480,US00015041,Phone,Very Happy,Ashley,1
INT300481,US00015041,Email,Neutral,Ashley,2
INT300482,US00015041,Email,Very Happy,Javier,2
INT300483,US00015041,SMS,Neutral,,2
INT300484,US00015041,SMS,Neutral,,2
INT300485,US00015041,Self-Service,Very Unhappy,,1
INT300486,US00015041,Case,Happy,Javier,2
INT300487,US00015041,Case,Happy,Javier,2
INT300488,US00015041,IVR,Neutral,,2
INT300489,US00015041,IVR,Happy,,2
INT300490,US00015042,Phone,Very Unhappy,Javier,3
INT300491,US00015042,Phone,Neutral,Kate,3
INT300492,US00015042,Phone,Unhappy,Javier,3
INT300493,US00015042,Email,Happy,Javier,2
INT300494,US00015042,Email,Neutral,Javier,2
INT300495,US00015042,SMS,Unhappy,,3
INT300496,US00015042,SMS,Very Happy,,3
INT300497,US00015042,SMS,Very Unhappy,,3
INT300498,US00015042,Self-Service,Very Unhappy,,2
INT300499,US00015042,Self-Service,Unhappy,,2
INT300500,US00015042,Case,Very Unhappy,Javier,2
INT300501,US00015042,Case,Happy,Kate,2
INT300502,US00015042,IVR,Very Happy,,1
INT300503,US00015043,Phone,Unhappy,Ashley,3
INT300504,US00015043,Phone,Unhappy,Ashley,3
INT300505,US00015043,Phone,Happy,Javier,3
INT300506,US00015043,Email,Very Happy,Kate,2
INT300507,US00015043,Email,Happy,Ashley,2
INT300508,US00015043,SMS,Very Happy,,3
INT300509,US00015043,SMS,Neutral,,3
INT300510,US00015043,SMS,Happy,,3
INT300511,US00015043,Self-Service,Happy,,3
INT300512,US00015043,Self-Service,Very Happy,,3
INT300513,US00015043,Self-Service,Very Happy,,3
INT300514,US00015043,Case,Happy,Ashley,1
INT300515,US00015043,IVR,Neutral,,3
INT300516,US00015043,IVR,Happy,,3
INT300517,US00015043,IVR,Very Unhappy,,3
INT300518,US00015044,Phone,Very Unhappy,Kate,2
INT300519,US00015044,Phone,Very Happy,Kate,2
INT300520,US00015044,Email,Happy,Javier,3
INT300521,US00015044,Email,Happy,Javier,3
INT300522,US00015044,Email,Neutral,Ashley,3
INT300523,US00015044,SMS,Happy,,1
INT300524,US00015044,Self-Service,Neutral,,1
INT300525,US00015044,Case,Happy,Ashley,2
INT300526,US00015044,Case,Happy,Kate,2
INT300527,US00015044,IVR,Very Happy,,3
INT300528,US00015044,IVR,Very Happy,,3
INT300529,US00015044,IVR,Very Unhappy,,3
INT300530,US00015045,Phone,Very Happy,Javier,3
INT300531,US00015045,Phone,Happy,Javier,3
INT300532,US00015045,Phone,Happy,Javier,3
INT300533,US00015045,Email,Very Happy,Kate,1
INT300534,US00015045,SMS,Happy,,1
INT300535,US00015045,Self-Service,Unhappy,,3
INT300536,US00015045,Self-Service,Happy,,3
INT300537,US00015045,Self-Service,Happy,,3
INT300538,US00015045,Case,Happy,Kate,3
INT300539,US00015045,Case,Happy,Kate,3
INT300540,US00015045,Case,Neutral,Kate,3
INT300541,US00015045,IVR,Neutral,,2
INT300542,US00015045,IVR,Happy,,2
INT300543,US00015046,Phone,Neutral,Ashley,3
INT300544,US00015046,Phone,Very Happy,Ashley,3
INT300545,US00015046,Phone,Happy,Javier,3
INT300546,US00015046,Email,Very Happy,Kate,2
INT300547,US00015046,Email,Neutral,Ashley,2
INT300548,US00015046,SMS,Happy,,3
INT300549,US00015046,SMS,Happy,,3
INT300550,US00015046,SMS,Very Happy,,3
INT300551,US00015046,Self-Service,Happy,,2
INT300552,US00015046,Self-Service,Happy,,2
INT300553,US00015046,Case,Neutral,Javier,1
INT300554,US00015046,IVR,Neutral,,1
INT300555,US00015047,Phone,Happy,Javier,1
INT300556,US00015047,Email,Unhappy,Kate,2
INT300557,US00015047,Email,Very Unhappy,Ashley,2
INT300558,US00015047,SMS,Happy,,3
INT300559,US00015047,SMS,Very Happy,,3
INT300560,US00015047,SMS,Unhappy,,3
INT300561,US00015047,Self-Service,Neutral,,3
INT300562,US00015047,Self-Service,Very Happy,,3
INT300563,US00015047,Self-Service,Happy,,3
INT300564,US00015047,Case,Very Happy,Kate,3
INT300565,US00015047,Case,Unhappy,Kate,3
INT300566,US00015047,Case,Unhappy,Kate,3
INT300567,US00015047,IVR,Very Unhappy,,3
INT300568,US00015047,IVR,Unhappy,,3
INT300569,US00015047,IVR,Unhappy,,3
INT300570,US00015048,Phone,Very Unhappy,Kate,2
INT300571,US00015048,Phone,Happy,Kate,2
INT300572,US00015048,Email,Very Happy,Ashley,1
INT300573,US00015048,SMS,Unhappy,,3
INT300574,US00015048,SMS,Very Happy,,3
INT300575,US00015048,SMS,Unhappy,,3
INT300576,US00015048,Self-Service,Unhappy,,2
INT300577,US00015048,Self-Service,Neutral,,2
INT300578,US00015048,Case,Very Unhappy,Ashley,1
INT300579,US00015048,IVR,Happy,,3
INT300580,US00015048,IVR,Happy,,3
